Pr^-1	tf		n	h			dt		 	2_T_error	2_T_rate	2_u_error		2_u_rate	 1_T_error	1_T_rate	1_u_error	1_u_rate	 0_T_error	0_T_rate	0_u_error		0_u_rate
2000	0.05	2	0.353553	0.005		0.289302	-inf		0.03937			-inf		3.55116		-inf		1.21486		-inf		0.144034	-inf		0.0393231		-inf
2000	0.05	3	0.176777	0.005		0.134743	1.10237		0.0190877		1.04445		1.82142		0.963223	1.17318		0.0503702	0.0396932	1.85945		0.0189974		1.04958
2000	0.05	4	0.0883883	0.005		0.0656402	1.03756		0.0071578		1.41506		0.916567	0.990755	0.865022	0.439614	0.0104262	1.92867		0.00702593		1.43504
2000	0.05	5	0.0441942	0.005		0.0325878	1.01025		0.00168699		2.08507		0.459023	0.997675	0.390535	1.14729		0.00291572	1.83829		0.00156992		2.162
2000	0.05	6	0.0220971	0.005		0.0162845	1.00084		0.000475848		1.82588		0.229662	0.999054	0.134971	1.53281		0.00121198	1.26648		0.000425311		1.8841
2000	0.05	7	0.0110485	0.005		0.00816077	0.99672		0.000352503		0.432865	0.114909	0.999016	0.0629105	1.10127		0.000761851	0.669788	0.000338178		0.330734

2000	0.05	2	0.353553	0.0025		0.228624	-4.80813	0.0377874		-6.74413	3.55147		-4.94985	1.16603		-4.21216	0.144182	-7.56417	0.0377649		-6.80312
2000	0.05	3	0.176777	0.0025		0.0992632	1.20365		0.0187055		1.01444		1.82123		0.963501	1.15146		0.0181491	0.0395585	1.86584		0.0186612		1.01701
2000	0.05	4	0.0883883	0.0025		0.0469597	1.07984		0.00768245		1.28382		0.916475	0.990748	0.928152	0.311027	0.0102789	1.9443		0.00761204		1.29368
2000	0.05	5	0.0441942	0.0025		0.0231083	1.02301		0.00197348		1.96082		0.45897		0.997695	0.471426	0.97733		0.00271652	1.91985		0.0019018		2.00092
2000	0.05	6	0.0220971	0.0025		0.0115094	1.0056		0.000365657		2.43218		0.229581	0.999398	0.1498		1.65399		0.000836986	1.69849		0.000325047		2.54865
2000	0.05	7	0.0110485	0.0025		0.00575989	0.998704	0.000176038		1.0546		0.114827	0.999538	0.0557069	1.42711		0.00046228	0.856438	0.000164653		0.981221

2000	0.05	2	0.353553	0.001		0.182803	-4.9881		0.0368386		-7.70918	3.55174		-4.95099	1.13669		-4.35083	0.144302	-8.28611	0.0368298		-7.80531
2000	0.05	3	0.176777	0.001		0.0698179	1.38862		0.0184826		0.995051	1.82113		0.963687	1.13821		-0.00193324	0.0394914	1.86948		0.0184651		0.996077
2000	0.05	4	0.0883883	0.001		0.0307077	1.185		0.00798978		1.20994		0.916398	0.99079		0.96891		0.232332	0.0101627	1.95826		0.00796036		1.21389
2000	0.05	5	0.0441942	0.001		0.0147472	1.05816		0.00231075		1.78979		0.458938	0.997675	0.557623	0.797074	0.00261955	1.95589		0.00227686		1.80579
2000	0.05	6	0.0220971	0.001		0.00729479	1.0155		0.000376611		2.61721		0.229562	0.999415	0.180364	1.62838		0.000718118	1.86702		0.000354359		2.68376
2000	0.05	7	0.0110485	0.001		0.00363746	1.00394		8.67595e-005	2.11798		0.114792	0.999859	0.0583967	1.62695		0.000232166	1.62906		7.63029e-005	2.2154

2000	0.05	2	0.353553	0.0005		0.164722	-5.50096	0.0365224		-8.71754	3.55184		-4.95147	1.12689		-4.27032	0.144347	-9.28017	0.036518		-8.90266
2000	0.05	3	0.176777	0.0005		0.0567048	1.53849		0.0184093		0.988345	1.8211		0.963753	1.13376		-0.00876722	0.0394715	1.87066		0.0184006		0.988858
2000	0.05	4	0.0883883	0.0005		0.0228548	1.31097		0.00810639		1.1833		0.916374	0.990805	0.983935	0.204485	0.0101254	1.96283		0.00809145		1.18528
2000	0.05	5	0.0441942	0.0005		0.0105806	1.11108		0.0024568		1.72228		0.458925	0.997679	0.595268	0.725023	0.00257805	1.97363		0.00243871		1.73028
2000	0.05	6	0.0220971	0.0005		0.00517751	1.03109		0.000400801		2.61582		0.229555	0.999417	0.19701		1.59527		0.000677548	1.92788		0.000388508		2.6501
2000	0.05	7	0.0110485	0.0005		0.00257462	1.0079		6.7059e-005		2.57939		0.114789	0.999851	0.0621662	1.66406		0.000200907	1.7538		5.94201e-005	2.70892

2000	0.05	2	0.353553	0.00025		0.154893	-5.91077	0.0363643		-9.08288	3.55189		-4.95153	1.122		-4.17379	0.144371	-9.48904	0.0363621		-9.25727
2000	0.05	3	0.176777	0.00025		0.0488463	1.66495		0.0183729		0.984946	1.82109		0.963787	1.13153		-0.0122119	0.0394621	1.87124		0.0183685		0.985203
2000	0.05	4	0.0883883	0.00025		0.0176651	1.46734		0.00816759		1.16959		0.916362	0.990812	0.991753	0.190227	0.010107	1.96511		0.00816006		1.17058
2000	0.05	5	0.0441942	0.00025		0.00769358	1.19918		0.00254056		1.68477		0.458918	0.997681	0.616701	0.68541		0.00255759	1.9825		0.00253118		1.68877
2000	0.05	6	0.0220971	0.00025		0.00368838	1.06067		0.000417881		2.60398		0.229552	0.999418	0.207631	1.57055		0.000656353	1.96224		0.000411383		2.62126
2000	0.05	7	0.0110485	0.00025		0.00182388	1.01598		6.23952e-005	2.74359		0.114787	0.999853	0.064334	1.69037		0.000180256	1.86442		5.81017e-005	2.82383

2000	0.05	2	0.353553	0.0001		0.148683	-6.34909	0.0362694		-9.1831		3.55193		-4.95156	1.11906		-4.12056	0.144386	-9.64566	0.0362686		-9.28592
2000	0.05	3	0.176777	0.0001		0.0434545	1.77466		0.018351		0.982892	1.82108		0.963807	1.13019		-0.0142879	0.0394565	1.87159		0.0183493		0.982994
2000	0.05	4	0.0883883	0.0001		0.0136342	1.67228		0.00820528		1.16124		0.916355	0.990817	0.996547	0.181561	0.0100961	1.96647		0.00820225		1.16163
2000	0.05	5	0.0441942	0.0001		0.00524773	1.37746		0.00259472		1.66097		0.458914	0.997682	0.630524	0.660388	0.00254541	1.98783		0.00259089		1.66257
2000	0.05	6	0.0220971	0.0001		0.00238406	1.13827		0.000430349		2.592		0.22955		0.999419	0.21504		1.55195		0.000643812	1.98319		0.000427655		2.59893
2000	0.05	7	0.0110485	0.0001		0.00116		1.0393		6.05241e-005	2.82993		0.114786	0.999854	0.0658519	1.70731		0.000167363	1.94366		5.87055e-005	2.86488

2000	0.05	2	0.353553	5e-005		0.146555	-6.98118	0.0362378		-9.22577	3.55194		-4.95158	1.11808		-4.08565	0.144391	-9.75278	0.0362374		-9.26977
2000	0.05	3	0.176777	5e-005		0.041502	1.82019		0.0183438		0.982205	1.82108		0.963814	1.12975		-0.0149814	0.0394547	1.87171		0.0183429		0.982256
2000	0.05	4	0.0883883	5e-005		0.0119933	1.79096		0.008218		1.15843		0.916352	0.990819	0.998163	0.178654	0.0100925	1.96692		0.00821649		1.15863
2000	0.05	5	0.0441942	5e-005		0.00412169	1.54092		0.00261347		1.65282		0.458913	0.997682	0.635304	0.651828	0.00254137	1.9896		0.00261154		1.65362
2000	0.05	6	0.0220971	5e-005		0.00174464	1.2403		0.000434928		2.58712		0.229549	0.999419	0.217714	1.54502		0.000639662	1.99023		0.000433563		2.59059
2000	0.05	7	0.0110485	5e-005		0.000827893	1.07542		6.01285e-005	2.85465		0.114786	0.999855	0.066407	1.71302		0.000163145	1.97116		5.92047e-005	2.87246
	
2000	0.05	2	0.353553	2.5e-005	0.145479	-7.45715	0.036222		-9.2346		3.55194		-4.95159	1.11759		-4.07291	0.144393	-9.78963	0.0362218		-9.25693
2000	0.05	3	0.176777	2.5e-005	0.0404904	1.84516		0.0183402		0.981861	1.82108		0.963817	1.12952		-0.0153284	0.0394538	1.87176		0.0183397		0.981886
2000	0.05	4	0.0883883	2.5e-005	0.011082	1.86936		0.0082244		1.15702		0.916351	0.990819	0.998974	0.177196	0.0100907	1.96714		0.00822364		1.15712
