Pr	tf	n	h	dt	2_T_error	2_T_rate	2_u_error	2_u_rate	 1_T_error	1_T_rate	1_u_error	1_u_rate	0_T_error	0_T_rate	0_u_error	0_u_rate
1	0.05	2	0.353553	0.005	0.0468745	-inf	0.0383702	-inf	0.528908	-inf	0.473973	-inf	0.0283287	-inf	0.018729	-inf
1	0.05	3	0.176777	0.005	0.0191686	1.29006	0.018622	1.04298	0.254681	1.05433	0.253873	0.900699	0.00658347	2.10534	0.00496445	1.91557
1	0.05	4	0.0883883	0.005	0.00916282	1.06488	0.00925611	1.00853	0.127891	0.99377	0.12958	0.970257	0.00147893	2.15429	0.00131482	1.91677
1	0.05	5	0.0441942	0.005	0.00555412	0.722235	0.00466643	0.988086	0.0686948	0.896647	0.0654876	0.984554	0.00269996	-0.868385	0.000578034	1.18564
1	0.05	6	0.0220971	0.005	0.00432459	0.360993	0.00241498	0.950308	0.0428921	0.679489	0.033338	0.974053	0.0030905	-0.194901	0.000525731	0.13683
1	0.05	7	0.0110485	0.005	0.00396169	0.126448	0.00135585	0.832814	0.0334602	0.358264	0.0176591	0.916759	0.00318556	-0.0437056	0.000529638	-0.0106823

1	0.05	2	0.353553	0.0025	0.0406556	-3.35927	0.030201	-4.47733	0.538048	-4.00722	0.473964	-4.74629	0.0305199	-3.26013	0.018745	-5.14535
1	0.05	3	0.176777	0.0025	0.0152043	1.41897	0.0136314	1.14766	0.257589	1.06267	0.253851	0.900795	0.00809046	1.91546	0.00497756	1.91299
1	0.05	4	0.0883883	0.0025	0.00646293	1.23422	0.00659717	1.04701	0.127268	1.0172	0.129483	0.971222	0.00113136	2.83816	0.00126974	1.9709
1	0.05	5	0.0441942	0.0025	0.00348174	0.89238	0.00328652	1.00529	0.0648433	0.972838	0.0652566	0.988563	0.0012708	-0.167667	0.000394394	1.68683
1	0.05	6	0.0220971	0.0025	0.00244702	0.508783	0.00166529	0.98079	0.0352887	0.877752	0.0328526	0.990118	0.00169761	-0.417774	0.000274122	0.52482
1	0.05	7	0.0110485	0.0025	0.00212251	0.205256	0.000878261	0.923051	0.0225132	0.648436	0.0167085	0.975426	0.00180168	-0.0858354	0.000271279	0.0150429

1	0.05	2	0.353553	0.001	0.0364002	-4.1001	0.0239994	-4.7722	0.544684	-4.59658	0.473958	-4.82611	0.0320831	-4.1544	0.0187533	-6.11122
1	0.05	3	0.176777	0.001	0.0124011	1.55348	0.00945123	1.34442	0.260202	1.06579	0.253855	0.900758	0.00928264	1.7892	0.00499085	1.90979
1	0.05	4	0.0883883	0.001	0.00447018	1.47206	0.00428449	1.14138	0.127783	1.02593	0.12946	0.971494	0.00191248	2.27909	0.00126431	1.98093
1	0.05	5	0.0441942	0.001	0.00204143	1.13075	0.00208713	1.0376	0.0638268	1.00147	0.065192	0.989742	0.000306083	2.64345	0.000325913	1.9558
1	0.05	6	0.0220971	0.001	0.00121184	0.752381	0.00104241	1.0016	0.032414	0.977547	0.0327108	0.994927	0.000646773	-1.07934	0.000128996	1.33716
1	0.05	7	0.0110485	0.001	0.000936965	0.371134	0.000530802	0.973678	0.0172516	0.909889	0.0164196	0.994352	0.000762148	-0.23681	0.000110277	0.226193

1	0.05	2	0.353553	0.0005	0.0348602	-5.21744	0.0215388	-5.34262	0.547125	-4.98707	0.473956	-4.85127	0.0326511	-5.42092	0.0187557	-7.41005
1	0.05	3	0.176777	0.0005	0.0113497	1.61893	0.00756116	1.51026	0.261257	1.0664	0.253859	0.900728	0.00973318	1.74615	0.00499615	1.90844
1	0.05	4	0.0883883	0.0005	0.00366152	1.63214	0.00315976	1.25879	0.128156	1.02757	0.129459	0.971527	0.00227978	2.09401	0.00126691	1.9795
1	0.05	5	0.0441942	0.0005	0.00146341	1.32311	0.00149181	1.08275	0.0638014	1.00624	0.065184	0.989908	0.000326057	2.8057	0.000317917	1.99459
1	0.05	6	0.0220971	0.0005	0.000761649	0.942135	0.000736751	1.01782	0.0319986	0.995579	0.0326908	0.995633	0.00026113	0.320354	9.19855e-005	1.78917
1	0.05	7	0.0110485	0.0005	0.000520349	0.549647	0.000370613	0.991261	0.0162756	0.975301	0.0163773	0.997184	0.000372002	-0.510541	5.69852e-005	0.690819

1	0.05	2	0.353553	0.00025	0.0340625	-6.03256	0.0201963	-5.76803	0.548393	-5.07443	0.473955	-4.85498	0.0329445	-6.46858	0.0187569	-8.36261
1	0.05	3	0.176777	0.00025	0.0107932	1.65806	0.00641052	1.65558	0.261823	1.06661	0.253861	0.90071	0.00996901	1.72452	0.00499897	1.90772
1	0.05	4	0.0883883	0.00025	0.00320302	1.75262	0.00240833	1.41241	0.128385	1.02811	0.12946	0.971532	0.00247794	2.00831	0.00126905	1.97788
1	0.05	5	0.0441942	0.00025	0.00112118	1.51442	0.00107839	1.15916	0.063859	1.00752	0.0651827	0.989946	0.000487454	2.3458	0.000317419	1.99929
1	0.05	6	0.0220971	0.00025	0.000510859	1.13402	0.000523206	1.04343	0.0319207	1.00039	0.0326862	0.995809	7.90249e-005	2.62489	8.15478e-005	1.96067
1	0.05	7	0.0110485	0.00025	0.000304906	0.74456	0.000260801	1.00443	0.0160272	0.993968	0.0163669	0.997901	0.000169578	-1.10157	3.2386e-005	1.33228

1	0.05	2	0.353553	0.0001	0.0335742	-6.78284	0.0193461	-6.21295	0.549169	-5.09865	0.473954	-4.8559	0.0331236	-7.60977	0.0187575	-9.17788
1	0.05	3	0.176777	0.0001	0.0104478	1.68416	0.00560796	1.7865	0.262176	1.06671	0.253863	0.900698	0.010114	1.71151	0.0050007	1.90727
1	0.05	4	0.0883883	0.0001	0.0029013	1.84842	0.00181392	1.62837	0.128538	1.02834	0.129461	0.971532	0.00260115	1.95913	0.00127061	1.97661
1	0.05	5	0.0441942	0.0001	0.000876974	1.72609	0.000725373	1.32231	0.0639176	1.00791	0.0651828	0.989955	0.000600478	2.11497	0.000318272	1.99719
1	0.05	6	0.0220971	0.0001	0.000333415	1.39522	0.000336355	1.10874	0.0319192	1.00179	0.0326851	0.995857	9.63464e-005	2.63981	7.93956e-005	2.00313
1	0.05	7	0.0110485	0.0001	0.000166404	1.00263	0.000165076	1.02685	0.0159657	0.999452	0.0163641	0.998102	4.69053e-005	1.03848	2.17235e-005	1.8698

1	0.05	2	0.353553	5e-005	0.0334097	-7.64944	0.0190543	-6.85084	0.54943	-5.10489	0.473954	-4.85614	0.0331839	-9.46652	0.0187577	-9.75401
1	0.05	3	0.176777	5e-005	0.0103305	1.69336	0.00531357	1.84236	0.262296	1.06674	0.253864	0.900694	0.0101629	1.70718	0.00500129	1.90711
1	0.05	4	0.0883883	5e-005	0.00279491	1.88603	0.00156646	1.76217	0.128591	1.0284	0.129461	0.971531	0.00264293	1.9431	0.00127117	1.97614
1	0.05	5	0.0441942	5e-005	0.000783391	1.83499	0.000560389	1.48301	0.0639413	1.00797	0.065183	0.989955	0.000639764	2.04652	0.000318748	1.99567
1	0.05	6	0.0220971	5e-005	0.000261376	1.58361	0.000244393	1.19723	0.0319266	1.00199	0.0326851	0.995864	0.000131731	2.27994	7.94508e-005	2.00428
1	0.05	7	0.0110485	5e-005	0.000113901	1.19835	0.000117442	1.05725	0.0159605	1.00025	0.0163637	0.99813	1.53782e-005	3.09864	2.01041e-005	1.98257

1	0.05	2	0.353553	2.5e-005	0.0333271	-8.19278	0.0189067	-7.3308	0.549561	-5.1057	0.473954	-4.85617	0.0332141	-11.0767	0.0187578	-9.86579
1	0.05	3	0.176777	2.5e-005	0.0102714	1.69806	0.00516008	1.87343	0.262357	1.06675	0.253864	0.900692	0.0101874	1.70501	0.00500159	1.90704
1	0.05	4	0.0883883	2.5e-005	0.00274044	1.90616	0.00142674	1.85467	0.128619	1.02843	0.129462	0.97153	0.00266394	1.93515	0.00127146	1.9759
1	0.05	5	0.0441942	2.5e-005	0.000733067	1.90239	0.000456063	1.64542	0.0639539	1.00799	0.0651831	0.989955	0.000659656	2.01378	0.000319022	1.99476
1	0.05	6	0.0220971	2.5e-005	0.000219628	1.73888	0.000181791	1.32695	0.0319317	1.00204	0.0326851	0.995865	0.000150818	2.1289	7.96252e-005	2.00236
1	0.05	7	0.0110485	2.5e-005	8.33621e-005	1.3976	8.419e-005	1.11056	0.0159609	1.00045	0.0163637	0.998137	2.4094e-005	2.64607	1.98429e-005	2.0046

1	0.05	2	0.353553	1e-005	0.0332775	-8.64094	0.0188176	-7.80422	0.54964	-5.10588	0.473954	-4.85618	0.0332322	-10.4297	0.0187579	-9.88466
1	0.05	3	0.176777	1e-005	0.0102358	1.70092	0.00506575	1.89323	0.262393	1.06676	0.253864	0.900691	0.0102022	1.7037	0.00500176	1.90699
1	0.05	4	0.0883883	1e-005	0.00270732	1.91869	0.00133591	1.92296	0.128635	1.02845	0.129462	0.97153	0.0026766	1.93041	0.00127164	1.97575
1	0.05	5	0.0441942	1e-005	0.000701457	1.94844	0.000379967	1.81388	0.0639618	1.008	0.0651832	0.989955	0.000671666	1.99458	0.000319198	1.99417
1	0.05	6	0.0220971	1e-005	0.000191362	1.87405	0.000130566	1.5411	0.0319353	1.00206	0.0326851	0.995865	0.000162546	2.0469	7.97766e-005	2.00041
1	0.05	7	0.0110485	1e-005	6.13475e-005	1.64123	5.54317e-005	1.23599	0.015962	1.00051	0.0163637	0.998139	3.48663e-005	2.22094	1.98744e-005	2.00506

1	0.05	2	0.353553	5e-006	0.0332609	-9.08261	0.0187878	-8.40487	0.549666	-5.10584	0.473954	-4.85618	0.0332383	-9.8968	0.0187579	-9.88238
1	0.05	3	0.176777	5e-006	0.010224	1.70188	0.00503392	1.90004	0.262405	1.06676	0.253864	0.90069	0.0102071	1.70327	0.00500182	1.90697
1	0.05	4	0.0883883	5e-006	0.0026962	1.92295	0.00130423	1.94849	0.128641	1.02845	0.129462	0.97153	0.00268082	1.92883	0.0012717	1.9757
1	0.05	5	0.0441942	5e-006	0.000690652	1.9649	0.000350955	1.89384	0.0639644	1.008	0.0651832	0.989954	0.000675681	1.98826	0.000319258	1.99396
1	0.05	6	0.0220971	5e-006	0.000181161	1.93069	0.000108237	1.6971	0.0319366	1.00206	0.0326851	0.995865	0.000166492	2.02089	7.98348e-005	1.99964
1	0.05	7	0.0110485	5e-006	5.26613e-005	1.78246	4.16594e-005	1.37747	0.0159626	1.00052	0.0163637	0.99814	3.87195e-005	2.10432	1.99163e-005	2.00307

1	0.05	2	0.353553	2.5e-006	0.0332527	-9.30251	0.0187729	-8.81579	0.549679	-5.10582	0.473954	-4.85618	0.0332413	-9.7457	0.0187579	-9.87934
1	0.05	3	0.176777	2.5e-006	0.010218	1.70236	0.00501793	1.90349	0.262411	1.06676	0.253864	0.90069	0.0102096	1.70305	0.00500185	1.90697
1	0.05	4	0.0883883	2.5e-006	0.00269063	1.9251	0.0012881	1.96185	0.128643	1.02845	0.129462	0.97153	0.00268293	1.92804	0.00127173	1.97567
1	0.05	5	0.0441942	2.5e-006	0.000685196	1.97335	0.000335511	1.94081	0.0639657	1.00801	0.0651832	0.989954	0.000677691	1.98511	0.000319289	1.99386
1	0.05	6	0.0220971	2.5e-006	0.000175877	1.96195	9.51276e-005	1.81842	0.0319372	1.00206	0.0326851	0.995865	0.000168472	2.00812	7.98653e-005	1.99922
1	0.05	7	0.0110485	2.5e-006	4.78696e-005	1.87738	3.26673e-005	1.54202	0.0159629	1.00052	0.0163637	0.99814	4.06752e-005	2.05029	1.99431e-005	2.00168

1	0.05	2	0.353553	1e-006	0.0332477	-9.43993	0.0187639	-9.1659	0.549687	-5.10582	0.473954	-4.85618	0.0332432	-9.67469	0.0187579	-9.8774
1	0.05	3	0.176777	1e-006	0.0102144	1.70264	0.00500831	1.90557	0.262415	1.06676	0.253864	0.90069	0.0102111	1.70292	0.00500187	1.90696
