nu	tf	n	h	dt	u_error_2	u_rate_2	u_error_1	u_rate_1	u_error_0	u_rate_0
1	0.003125	2	0.353553	0.0003125	0.0350745	-inf	1.12048	-inf	0.0289507	-inf
1	0.003125	3	0.176777	0.0003125	0.0134118	1.38692	0.6344	0.820655	0.00735691	1.97643
1	0.003125	4	0.0883883	0.0003125	0.00608313	1.14062	0.325971	0.960651	0.00194947	1.91602
1	0.003125	5	0.0441942	0.0003125	0.00303652	1.0024	0.164593	0.98584	0.000868787	1.16601
1	0.003125	6	0.0220971	0.0003125	0.00164335	0.885781	0.0829511	0.988569	0.000741945	0.227689
1	0.003125	7	0.0110485	0.0003125	0.00104476	0.653472	0.0422913	0.971899	0.000729901	0.0236114

1	0.003125	2	0.353553	0.00015625	0.0321552	-inf	1.12227	-inf	0.028936	-inf
1	0.003125	3	0.176777	0.00015625	0.0107874	1.57571	0.63438	0.823007	0.00731402	1.98413
1	0.003125	4	0.0883883	0.00015625	0.00446685	1.27201	0.325882	0.960996	0.00183293	1.99651
1	0.003125	5	0.0441942	0.00015625	0.00213818	1.06288	0.164404	0.987101	0.000590426	1.63433
1	0.003125	6	0.0220971	0.00015625	0.00110427	0.953289	0.0825722	0.993521	0.000392552	0.588874
1	0.003125	7	0.0110485	0.00015625	0.000639297	0.788535	0.0415422	0.991081	0.000372926	0.0739943

1	0.003125	2	0.353553	6.25e-005	0.0302616	-inf	1.1234	-inf	0.0289299	-inf
1	0.003125	3	0.176777	6.25e-005	0.00885106	1.77357	0.634376	0.824459	0.00729332	1.98791
1	0.003125	4	0.0883883	6.25e-005	0.00313684	1.49654	0.325857	0.9611	0.00178985	2.02674
1	0.003125	5	0.0441942	6.25e-005	0.00138236	1.18218	0.164349	0.987474	0.000471991	1.92301
1	0.003125	6	0.0220971	6.25e-005	0.000679342	1.02493	0.082461	0.994981	0.000191102	1.30442
1	0.003125	7	0.0110485	6.25e-005	0.000361127	0.911632	0.0413205	0.996853	0.000153956	0.311821

1	0.003125	2	0.353553	3.125e-005	0.0296021	-inf	1.12378	-inf	0.0289283	-inf
1	0.003125	3	0.176777	3.125e-005	0.00810429	1.86894	0.634377	0.824944	0.00728732	1.98902
